,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving
"Jackson, TN","$83,470 ","$59,717 ","$72,154 ","$70,344 ","$57,773 ","$40,717 ","$72,905 ","$46,663 ","$41,735 ","$56,600 ","$27,189 ","$34,174 ","$19,751 ","$23,691 ","$21,089 ","$25,337 ","$32,981 ","$27,004 ","$38,474 ","$42,877 ","$33,330 ","$31,211 "
"Deltona, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Peoria, IL","$99,672 ","$67,257 ","$85,867 ","$80,096 ","$64,768 ","$44,224 ","$88,408 ","$50,232 ","$46,673 ","$66,599 ","$28,485 ","$44,245 ","$21,490 ","$28,341 ","$23,763 ","$28,351 ","$36,026 ","$30,213 ","$67,504 ","$48,494 ","$34,647 ","$31,777 "
"Berkeley, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Gulfport, MS","$69,654 ","$57,536 ","$63,677 ","$71,990 ","$54,234 ","$36,602 ","$60,931 ","$41,457 ","$37,095 ","$53,483 ","$23,630 ","$30,429 ","$19,412 ","$20,770 ","$20,081 ","$22,241 ","$29,925 ","$33,680 ","$36,941 ","$39,750 ","$31,180 ","$27,950 "
"Chapel Hill, NC","$109,651 ","$67,412 ","$86,536 ","$75,179 ","$61,301 ","$44,770 ","$62,638 ","$44,564 ","$44,729 ","$60,777 ","$26,150 ","$36,694 ","$19,813 ","$24,072 ","$22,015 ","$26,068 ","$34,050 ","$28,115 ","$38,124 ","$43,432 ","$31,849 ","$29,473 "
"Wichita Falls, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Ithaca, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
"Panama City, FL","$97,419 ","$62,155 ","$73,728 ","$69,778 ","$56,374 ","$40,593 ","$66,599 ","$45,973 ","$43,978 ","$61,394 ","$28,681 ","$35,707 ","$21,706 ","$24,000 ","$23,259 ","$25,985 ","$32,600 ","$22,015 ","$37,394 ","$39,801 ","$31,088 ","$29,504 "
"Brooklyn, NY","$133,568 ","$81,515 ","$90,455 ","$81,783 ","$68,461 ","$49,317 ","$106,215 ","$59,367 ","$65,663 ","$79,088 ","$28,146 ","$46,292 ","$24,535 ","$31,612 ","$25,975 ","$29,802 ","$39,811 ","$33,073 ","$59,203 ","$50,232 ","$35,851 ","$36,242 "
