,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health,quality_of_life_index
"Amarillo, TX",59969.88074686501,33269.380746865005,43371.480746865,43090.280746865006,26617.540746865,13193.740746865005,40807.240746865,17358.160746865004,13394.200746865004,27211.120746865006,411.2007468650045,9422.440746865002,-4911.919253134998,-2286.879253134997,-5346.639253134996,1696.880746865005,7209.2007468650045,-2132.8792531349973,7729.060746865005,10425.520746865004,7028.800746865002,5589.120746865003,23098.879253135,172.7,2174,0.0
"Ames, IA",34951.946589367995,20116.069689368,29658.627189368,25254.954489368,16987.439289367994,6018.454689367998,19774.559289368,9118.054689367995,6057.439689368,17510.288889368003,1527.698489368002,6690.034689368001,-6413.693310631999,-1848.2475106320016,-3608.9948106320007,-2134.5671106320005,5535.874689368001,3584.502189367999,8424.232189368002,9081.462189367998,5906.202189367999,5569.392189367998,23225.410310632004,470.0,2237,0.0
"Anaheim, CA",43368.599172305985,16469.456172305996,33165.50017230598,29076.123172306,17706.056172306002,-235.0548276940026,35203.85217230599,3437.8451723060057,5423.183172306002,22749.62817230601,-7089.614827693997,-1754.0548276939953,-14582.394827694,-10485.714827693997,-14754.594827693996,-9846.474827693997,-7462.794827693997,-15394.674827694,2703.545172306003,-522.7548276939997,-8869.834827693994,-9434.814827693994,35778.954827694,432.00000004,2121,0.0
"Anchorage, AK",43157.315944235,26381.995944235,29045.695944235,41961.075944235,24648.835944235,6619.135944234998,36519.47594423498,15958.855944234998,5591.875944235003,31500.435944235,-698.8240557650024,11457.475944235,-10191.004055765,-3854.124055764998,-4940.044055765,-5845.564055765,633.4159442350027,265.1559442350008,19216.915944235006,15846.535944234998,-495.16405576499886,4003.0159442350014,32578.204055765,912.0,2299,170.72429286584153
"Ann Arbor, MI",42504.651381138996,16620.043881139005,25534.94388113901,28243.043881139005,10619.006381139006,1416.4813811390052,21483.856381139005,1538.1688811390052,453.3063811390093,16233.59388113901,-7260.143618860995,-1838.1061188609965,-14548.90611886099,-10723.206118860997,-12377.268618860997,-9413.356118860993,-2779.518618860995,-9362.268618860997,3890.056381139002,1325.7688811390035,-1969.656118860996,-5045.7936188609965,31874.268618860995,506.29846156,2214,0.0
"Annapolis, MD",50679.756593439,22119.129093438998,35602.306593438996,32311.269093438998,25231.156593439,1050.231593438999,16090.654093439,8337.141593438995,5187.391593438995,20582.344093439,-8224.273406560998,-494.6109065609999,-16137.185906561,-11863.963406561,-14116.708406561002,-11367.793406561,-2572.430906561,-5972.360906560996,-577.383406560999,2633.1640934389943,-4482.185906561001,-5209.790906561,34644.493406561,552.0,2479,0.0
"Appleton, WI",47085.108779225,21708.100279225,30791.270179224994,28201.81717922499,20305.778779224995,8219.273779224997,24682.026079225,12211.048279224995,7747.290379224996,24430.971079225,3567.943879224997,8108.809579224991,-5365.826820775002,-1148.694420775002,-2687.6703207750033,507.1553792249979,6922.143079224997,3954.5267792249983,14476.281679225,10787.207779224998,7990.354179224996,6190.659579224997,22100.997220775003,365.23,2384,0.0
"Arlington, TX",57720.01834708801,31019.518347087997,41121.618347088,40840.418347088,24367.678347087996,10943.878347088,38557.378347087986,15108.298347088,11144.338347088,24961.258347087998,-1838.6616529120001,7172.578347087998,-7161.781652912003,-4536.741652912002,-7596.501652911999,-552.9816529119998,4959.338347088,-4382.741652912002,5479.1983470879995,8175.6583470880005,4778.938347087998,3339.258347087998,25348.741652912002,412.99999996,2174,0.0
"Arlington, VA",46269.762331712,14311.327331711997,27603.634831711992,16343.964831711995,14244.134831712,-8759.542668287999,23115.362331712004,-5436.765168288001,-4099.417668287999,3949.954831711999,-18595.410168288,-11695.060168288002,-25491.250168288003,-22030.992668288003,-23985.252668287998,-21091.697668288,-13180.892668288003,-16581.930168288003,-12386.492668288003,-8008.865168288001,-14128.412668288,-15541.467668288004,42777.732668288,550.28409092,2472,0.0
"Asheville, NC",48714.54736897501,20178.694868975,32360.684868975,25829.187368974995,15732.942368975,3706.639868974999,16705.609868974996,3556.774868974997,3676.8123689750023,15351.732368974996,-7224.410131025002,1500.7498689749993,-12468.277631025,-8943.955131024999,-10646.122631025,-7292.265131025,-687.1601310250007,-5598.372631024999,2684.0748689750035,2733.2448689749976,-2508.487631025,-4474.627631025,28863.535131025,558.7425000000002,2165,0.0
